Country,Energy Type,Year,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,R&D Expenditure,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Urbanization Rate,Industrialization Rate,Renewable Energy Patents,Educational Level,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Government Policies,Renewable Energy Targets,Energy Efficiency Programs,Energy Market Liberalization,Technology Transfer Agreements,Renewable Energy Education Programs,Natural Disasters,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
Australia,Biomass,2000.0,43636.881097555255,19296.866170272733,6554377220.545076,509980667.0,177785937913029.72,358831.38293424645,52662.06417280885,18717.15276770596,957141.0566278128,393848.0,6451974688.654838,7.859819305719149,1459.3668315970317,101.45158257581468,1.885153093918072,84.16317254370966,61.00545646558947,4.779735638736094,155.01764547790748,0.8694026744158048,0.2042678941190515,367407964.6040038,385780993.35358673,3.2241731189329057,48.05229406612023,27.94883050698799,496.0,9.986479399442276,77.66836934624294,83.13742605075166,75.60688593899569,3.904252115298679,5.653254454492862,1.6830438422046867,5.997075505008322,4.65953606245833,70.30828493368494,4.1480856611382455,5.651831164382893,71.0,44.0,9762.0,100070.0,50.8704767604364,1,0,1,0,1,1,1,0,0
Australia,Geothermal,2000.0,48850.463203192805,18784.25882155832,6829161629.653306,815933387.0,104921480124991.08,566483.2076589825,64141.41677809547,61037.78882657754,565187.3766767392,501638.0,3850711434.3009887,26.138927101130037,2276.230176706924,148.4833087998177,6.638057629944797,18.961897681415426,91.35344805682185,47.85903551611214,840.0126081357413,0.2584346128443595,0.19819824877433426,727708859.4971079,432327847.187653,3.65956599063504,49.450690201938016,47.110431861430186,553.3333333333334,4.033645016358459,74.17530033646392,29.394086986569295,63.544069014145286,7.646601868180777,5.934210268681016,5.307354459202098,5.2036327550293215,3.497590126009855,55.839295150057374,20.772581736788183,72.87855626463676,142.66666666666666,67.66666666666667,4154.0,518905.3333333333,51.46306499712685,0,1,1,0,0,1,1,0,1
Australia,Hydro,2000.0,52694.42740676485,27042.232403315527,8132999411.931943,567196490.3333334,158102900219602.56,94312.15158605791,43828.89202233201,37489.51973069144,453839.67229400907,486888.0,6698699403.944908,10.65562440287767,2046.8243879153536,254.27184148875844,6.0810134673161516,68.0775728189037,50.87895813557907,52.118372281010515,754.2985326535141,0.6342270228841221,0.21716799847305587,622279757.3215681,486591943.2525862,4.3640150386908845,41.574856395768506,18.768648544984675,609.0,5.102094126550553,67.64589902213105,59.58326770929778,17.330325725191333,4.795584541786305,4.127277852062844,5.23025926883016,6.686743454141087,8.747857141699484,54.041713198320146,15.225404751877207,51.77025198338018,759.0,30.666666666666668,4359.0,231291.66666666666,63.55848362234473,1,1,1,1,1,1,1,1,0
Australia,Solar,2000.0,64257.75460518792,7523.075579114989,5319923925.384313,421400918.0,164799843042418.8,350032.70428831613,26464.467709302666,41961.69887442879,364187.67492733593,775624.0,4464797632.634337,33.42940427298525,2157.833404942386,162.69915509064185,10.529026385739222,66.248054338038,11.140851682350672,66.06950379226132,366.5469022247077,0.486645447540812,0.25222381044479,728685390.5630577,582662721.1275722,1.1513582236221365,99.31766015388214,40.29659422213028,727.0,5.237453730931714,34.16863129655311,13.574772403287316,72.22219211234643,9.835594249512004,5.859790139512905,7.313023629815925,1.531340491441512,9.22655106503906,60.045192057831365,49.020277499345646,15.193064239455955,343.0,93.0,3083.0,704083.0,37.57652435578449,0,0,0,1,1,0,0,0,1
Australia,Wind,2000.0,47037.45801774677,23959.731523688548,2271831546.0477443,861946050.5,32541739678506.133,702045.9821084733,51895.37336823911,50770.25667869096,630524.2213222932,601610.0,5999684881.622682,0.6187098137534734,2424.032488073316,189.7933809821666,4.021574947485378,56.952757215701986,37.51974380998673,54.0278557763257,678.4030164351224,0.04292311008904355,0.26016127248068,346168487.0893293,547574783.872222,2.7536891733117708,26.78262400629037,37.44717458943842,887.5,6.0017490591121385,21.396924904784356,88.2433729425198,35.97700023524321,2.763390160428726,6.0360544462472365,5.833781857660173,4.608101767876265,8.745631473227633,48.549759276024446,49.074705326025224,73.32631146050088,499.5,51.5,8445.5,795975.5,50.391573981836274,0,0,0,1,0,0,0,0,0
Australia,Biomass,2001.0,71301.4367826652,21318.666689150323,5787626493.034167,1276162671.0,24434832501949.418,563594.1229713404,46669.72722904966,57343.45655847535,427221.5032538223,721478.0,3646740573.0982814,6.471605028720798,2401.465094806393,152.5436159205486,7.980452020976024,41.2316149523304,81.29149805687051,59.89537832939561,697.9655998541484,0.7675941360055688,0.2520397291487037,491785496.5902334,392663793.44644165,7.312363690328209,40.47052086877262,43.90134583762811,845.0,3.194712705118665,63.82432299225948,21.242721751949702,82.66450398503203,7.260669819328658,4.490125077838665,4.406087061619478,4.588466124329993,4.60652717674861,51.805399846856325,58.79824861053559,36.474490659777906,328.0,46.0,6985.666666666667,296368.3333333333,41.05594422662974,1,0,0,0,0,1,1,0,0
Australia,Hydro,2001.0,43932.64364428782,27370.74997883835,6663561823.216441,910375213.4,133594714323869.75,824530.1988177382,67666.6558600907,32023.131821135168,550753.596143528,664068.2,2360633573.0645876,16.01405705906678,1308.5374446630728,197.94512260872466,6.99680410571833,58.62808514230669,78.39261823108038,53.026071416291416,467.54950367596786,0.4452512002011476,0.32554148951025774,472098807.59811115,467755926.0552061,6.726628187834505,30.27721047966575,38.02899619388903,289.0,5.877363879791064,62.01782697401946,47.397675832302866,88.05385173599564,5.740899406350512,5.121921681612106,6.6783962201605815,4.764416921146732,3.928998294990042,55.95575791866237,33.027534301114386,29.19768463051676,395.6,44.8,5819.8,570866.2,59.33997251647294,1,1,0,0,1,1,1,1,0
Australia,Solar,2001.0,59045.171972164455,25347.195450304574,5206910960.748359,489187241.6666667,111410941600303.17,405418.3148172251,36061.2989750114,40777.59178078458,678796.813738033,507888.0,3703988495.631989,-0.06595677126119497,1825.9009769352913,168.92196627086898,8.663733046967977,67.18995379812804,47.53116121114429,22.814609464425086,764.3402562762905,0.8488796678656465,0.2774836408693639,883448007.6245031,243862858.92258713,4.814353136782943,38.76613301185421,34.49423285724554,492.6666666666667,3.176317601414908,60.94176854847899,67.99172050668967,27.1127881881138,5.033040415355144,5.0341999184486355,8.354054565488132,5.752730695600744,6.632774179551337,48.716921085264055,32.08872169579229,39.532702781739076,567.0,61.0,6703.0,688486.6666666666,50.10058106329897,0,0,1,0,0,0,1,1,1
Australia,Wind,2001.0,60068.06685896602,6539.7633783233705,3834481226.3580294,1046285505.5,30591237168067.67,506427.2910424594,25347.60476928024,21633.04897337626,605788.2694408194,230433.0,880310763.8670774,6.597497797478084,2862.871075127643,197.97176007811126,7.90011236661203,6.460729346045763,28.246400407682437,43.0036741196362,581.9212875016409,0.6397763268940477,0.2743960959457607,351064652.52483565,433895377.0773566,6.092191532175781,11.615794523656309,81.33477091389503,552.0,4.666017441868949,29.980033567370384,20.97905214147972,66.57629754357522,2.656937272421111,3.0295814019246285,6.219593784721241,4.015532316780765,2.003150917253973,8.764094431538512,67.51282367691196,24.852676640984335,384.0,76.0,7473.0,140275.5,42.49724415324043,0,0,0,1,1,0,0,1,0
Australia,Biomass,2002.0,38314.88919537087,34763.389914127336,3158583110.111093,48738229.0,118004706625663.94,420872.6939284919,34060.52771614354,73057.87374066027,873681.1266431793,365174.0,2156778021.882453,0.5209164532827906,2838.05653891611,208.52564280890192,4.5059611392377406,97.27332647504537,69.1313350246822,52.63944029228522,425.0823375678675,0.3570852945979759,0.0965137844909765,600373011.7468919,767944796.4950017,1.659295352699931,39.69665106411833,86.1517227923968,332.0,6.65139545119184,16.784237008565505,46.85731934951289,51.42893277659759,5.8126049906945525,9.48785677404526,3.632564660527088,8.125103907483888,5.8946729012036725,91.56532120130444,76.37965278650394,11.619085094501546,721.0,6.0,1457.0,860066.0,81.98148564362204,1,1,0,1,1,0,1,0,0
